0,1744400622.5001151562,0.012135,-0.018318,0.030644,0.963375,-0.010967,0.267930,0.001369
1,1744400622.6000752449,0.009094,-0.016818,0.034171,0.963549,-0.008669,0.267389,0.000647
2,1744400622.7000553608,0.006602,-0.012407,0.034366,0.963887,-0.006977,0.266220,0.000391
3,1744400622.8000352383,0.007264,-0.009618,0.031468,0.963307,-0.007001,0.268298,0.002693
4,1744400622.9004554749,0.007819,-0.007181,0.032522,0.963361,-0.007053,0.268115,0.000707
5,1744400623.0003952980,0.007261,-0.003032,0.029271,0.963564,-0.006721,0.267394,0.000359
6,1744400623.1003553867,0.007086,-0.000196,0.026421,0.963804,-0.007478,0.266506,-0.001077
7,1744400623.2002954483,0.007394,-0.000885,0.028273,0.963654,-0.006017,0.267087,0.000468
8,1744400623.3001952171,0.007486,0.001738,0.027226,0.963735,-0.006840,0.266774,-0.000160
9,1744400623.4001352787,0.007921,0.001914,0.026230,0.963992,-0.007686,0.265814,-0.001685
10,1744400623.5000801086,0.007334,0.000569,0.025347,0.964243,-0.008790,0.264865,-0.002345
11,1744400623.6000800133,0.008530,-0.002694,0.026111,0.964482,-0.008158,0.264000,-0.003379
12,1744400623.7000601292,0.008207,-0.005153,0.028304,0.964373,-0.006582,0.264460,-0.001479
13,1744400623.8004601002,0.008238,-0.004935,0.029689,0.963899,-0.006108,0.266198,-0.000793
14,1744400623.9003801346,0.006682,-0.006473,0.031314,0.963679,-0.006463,0.266984,-0.000279
15,1744400624.0003802776,0.006687,-0.006236,0.030926,0.963682,-0.007438,0.266949,-0.000988
16,1744400624.1002800465,0.006328,-0.005711,0.029981,0.963524,-0.008934,0.267470,-0.001334
17,1744400624.2002799511,0.006936,-0.005839,0.030047,0.963752,-0.008546,0.266663,-0.000714
18,1744400624.3002800941,0.007505,-0.004686,0.031032,0.963731,-0.008600,0.266735,-0.000975
19,1744400624.4002799988,0.008283,-0.003498,0.029787,0.963676,-0.009575,0.266895,-0.002203
20,1744400624.5002248287,0.008412,-0.004409,0.030666,0.964033,-0.008044,0.265657,-0.001160
21,1744400624.6001849174,0.007140,-0.005246,0.030772,0.964352,-0.007291,0.264515,-0.002165
22,1744400624.7001445293,0.007090,-0.006558,0.029876,0.964087,-0.007755,0.265474,-0.000274
23,1744400624.8000648022,0.007098,-0.004935,0.029192,0.964003,-0.009201,0.265731,-0.001085
24,1744400624.9004848003,0.004396,-0.003000,0.029843,0.964433,-0.009591,0.264152,-0.001007
25,1744400625.0004246235,0.002781,-0.002747,0.029492,0.964655,-0.010508,0.263300,-0.001743
